country,continent,idacr,leader,plad_id,archigos_id,startdate,enddate,entry,exit,gender,yrborn
Jordan,Asia,JOR,Abdullah Ibn Hussein El-Hashimi,JOR_1999_1,8240849a-1e42-11e4-b4cd-db5882bf8def,1999-02-07,2023-12-31,Regular,Still in Office,M,1962
Japan,Asia,JPN,Kaifu,JPN_1989_2,824731bf-1e42-11e4-b4cd-db5882bf8def,1989-08-09,1991-11-06,Regular,Regular,M,1931
Japan,Asia,JPN,Miyazawa,JPN_1991_1,824731c0-1e42-11e4-b4cd-db5882bf8def,1991-11-06,1993-08-09,Regular,Regular,M,1919
Japan,Asia,JPN,Murayama,JPN_1994_2,824731c3-1e42-11e4-b4cd-db5882bf8def,1994-06-29,1996-01-11,Regular,Regular,M,1924
Japan,Asia,JPN,Hashimoto,JPN_1996_1,82476292-1e42-11e4-b4cd-db5882bf8def,1996-01-11,1998-07-30,Regular,Regular,M,1937
Japan,Asia,JPN,Obuchi,JPN_1998_1,82476293-1e42-11e4-b4cd-db5882bf8def,1998-07-30,2000-04-02,Regular,Retired Due to Ill Health,M,1937
Japan,Asia,JPN,Yoshiro Mori,JPN_2000_2,82476295-1e42-11e4-b4cd-db5882bf8def,2000-04-05,2001-04-26,Regular,Regular,M,1937
Japan,Asia,JPN,Junichiro Koizumi,JPN_2001_1,82476296-1e42-11e4-b4cd-db5882bf8def,2001-04-26,2006-09-26,Regular,Regular,M,1942
Japan,Asia,JPN,Shinzo Abe,JPN_2006_1,364a2a98-3bbd-11e5-afeb-eb6f07f9fec7,2006-09-26,2007-09-26,Regular,Regular,M,1954
Japan,Asia,JPN,Yasuo Fukuda,JPN_2007_1,8254eda8-1e42-11e4-b4cd-db5882bf8def,2007-09-26,2008-09-24,Regular,Regular,M,1936
Japan,Asia,JPN,Taro Aso,JPN_2008_1,8254eda9-1e42-11e4-b4cd-db5882bf8def,2008-09-24,2009-09-16,Regular,Regular,M,1940
Japan,Asia,JPN,Naoto Kan,JPN_2010_1,82551e79-1e42-11e4-b4cd-db5882bf8def,2010-06-08,2011-09-02,Regular,Regular,M,1946
Japan,Asia,JPN,Yoshihiko Noda,JPN_2011_1,82551e7a-1e42-11e4-b4cd-db5882bf8def,2011-09-02,2012-12-26,Regular,Regular,M,1957
Japan,Asia,JPN,Shinzo Abe,JPN_2012_1,364a2a98-3bbd-11e5-afeb-eb6f07f9fec7,2012-12-26,2020-09-16,Regular,Retired Due to Ill Health,M,1954
Japan,Asia,JPN,Yoshihide Suga,JPN_2020_1,.,2020-09-16,2021-10-04,Regular,Regular,M,1948
Japan,Asia,JPN,Fumio Kishida,JPN_2021_1,.,2021-10-04,2023-12-31,Regular,Still in Office,M,1957
Kenya,Africa,KEN,Moi,KEN_1978_1,8232670e-1e42-11e4-b4cd-db5882bf8def,1978-08-22,2002-12-30,Regular,Regular,M,1924
Kenya,Africa,KEN,Mwai Kibaki,KEN_2002_1,8232670f-1e42-11e4-b4cd-db5882bf8def,2002-12-31,2013-04-09,Regular,Regular,M,1931
Kenya,Africa,KEN,Uhuru Kenyatta,KEN_2013_1,2b3c671c-3481-11e4-8dba-bbcd9ed46413,2013-04-09,2022-09-13,Regular,Regular,M,1961
Kenya,Africa,KEN,William Samoei Ruto,KEN_2022_1,.,2022-09-13,2023-12-31,Regular,Still in Office,M,1966
Kosovo,Europe,KOS,Hashim Thaci,KOS_2008_1,149e8af7-aae0-11e4-b3bc-29f2fa19767e,2008-02-17,2014-12-09,Regular,Regular,M,1968
Kosovo,Europe,KOS,Isa Mustafa,KOS_2014_1,149e8af8-aae0-11e4-b3bc-29f2fa19767e,2014-12-09,2017-09-09,Regular,Regular,M,1951
Kosovo,Europe,KOS,Ramush Haradinaj,KOS_2017_1,.,2017-09-09,2020-02-03,Regular,Regular,M,1968
Kosovo,Europe,KOS,Avdullah Hoti,KOS_2020_2,.,2020-06-03,2021-03-22,Regular,Regular,M,1976
Kosovo,Europe,KOS,Albin Kurti,KOS_2021_1,.,2021-03-22,2023-12-31,Regular,Still in Office,M,1975
Kuwait,Asia,KUW,Jabir As-Sabah,KUW_1978_1,82423c18-1e42-11e4-b4cd-db5882bf8def,1978-01-01,1990-08-02,Regular,Foreign,M,1926
Kuwait,Asia,KUW,Jabir As-Sabah,KUW_1991_1,82423c18-1e42-11e4-b4cd-db5882bf8def,1991-04-20,2006-01-15,Foreign Imposition,Natural Death,M,1926
Kuwait,Asia,KUW,Sheikh Sabah Al Ahmad Al Jabir Al Sabah,KUW_2006_2,82548c00-1e42-11e4-b4cd-db5882bf8def,2006-01-29,2020-09-29,Regular,Natural Death,M,1942
Kuwait,Asia,KUW,Sheikh Nawaf Al Ahmad Al Jabir Al Sabah,KUW_2020_1,.,2020-09-29,2023-12-16,Regular,Natural Death,M,1937
Kyrgyzstan,Asia,KYR,Akayev,KYR_1990_1,824391f3-1e42-11e4-b4cd-db5882bf8def,1990-10-27,2005-03-25,Regular,Irregular,M,1944
Kyrgyzstan,Asia,KYR,Bakiyev,KYR_2005_1,8254bcd2-1e42-11e4-b4cd-db5882bf8def,2005-03-25,2010-04-07,Regular,Irregular,M,1949
Kyrgyzstan,Asia,KYR,Otunbayeva,KYR_2010_1,8254bcd3-1e42-11e4-b4cd-db5882bf8def,2010-04-07,2011-12-01,Regular,Regular,F,1950
Kyrgyzstan,Asia,KYR,Atambayev,KYR_2011_1,8254bcd4-1e42-11e4-b4cd-db5882bf8def,2011-12-01,2017-11-24,Regular,Regular,M,1956
Kyrgyzstan,Asia,KYR,Jeenbekov,KYR_2017_1,.,2017-11-24,2020-10-15,Regular,Irregular,M,1958
Kyrgyzstan,Asia,KYR,Sadyr Japarov,KYR_2021_1,.,2021-01-28,2023-12-31,Regular,Still in Office,M,1968
Kazakhstan,Asia,KZK,Nazarbayev,KZK_1990_1,8243c2c2-1e42-11e4-b4cd-db5882bf8def,1990-04-24,2019-03-20,Regular,Irregular,M,1940
Kazakhstan,Asia,KZK,Kassy-Jomart Tokayev,KZK_2019_1,.,2019-03-20,2023-12-31,Regular,Still in Office,M,1953
