"","ccode","idacr","country","year","tstart","tstop","leader","age","group","survival_time","status","GDP_trend","GDP_pc","pop_log","polity5","polstab"
"54",160,"ARG","Argentina",1962,1962.23835616438,1963.77808219178,"Guido",52,"B",562,1,1.02364798102892,6.216,7.65071067674819,5,0
"55",160,"ARG","Argentina",1966,1966.48767123288,1970.43287671233,"Ongania",52,"B",1441,2,1.08957618852846,6.926,7.71374039945326,-9,0
"56",160,"ARG","Argentina",1976,1976.24109589041,1981.23835616438,"Videla",51,"B",1826,1,1.01675713948548,8.616,7.85991302973523,-9,3
"57",160,"ARG","Argentina",1995,1995.51506849315,1999.9397260274,"Menem",65,"A",1616,1,1.17998692961212,12.278,8.19782724435523,7,0
"58",165,"URU","Uruguay",1976,1976.66849315068,1981.66575342466,"Mendez Manfredini",72,"B",1826,1,1.06772451369307,8.936,5.71386480999771,-8,0
"59",345,"YUG","Serbia",1974,1974.17534246575,1980.3397260274,"Tito",82,"A",2251,1,1.14495883935121,5.619,7.72891873432414,-7,0
"60",350,"GRC","Greece",1967,1967.30136986301,1967.94794520548,"Kollias",66,"B",236,2,1.22611069744353,8.892,6.83007802142425,-7,0
"61",350,"GRC","Greece",1967,1967.94794520548,1973.89863013699,"Papadopoulos",48,"B",2174,2,1.22611069744353,8.892,6.83007802142425,-7,0
"62",350,"GRC","Greece",1973,1973.89863013699,1974.55890410959,"Ionannides",50,"B",241,1,1.20882834175144,13.594,6.86645400295818,-7,0
"63",365,"RUS","Russia",2008,2008,2023.90410958904,"Putin",56,"A",5809,1,1.24046127076913,21.815,9.63298643851381,4,2
"64",370,"BLR","Belarus",2004,2004.55068493151,2023.90410958904,"Lukashenko",50,"A",7069,1,1.19198355182803,11.711,6.94166673060881,-7,0
"65",373,"AZE","Azerbaijan",2013,2013.58904109589,2023.90410958904,"Ilhma Aliyev",52,"A",3767,1,1.10435410009866,15,6.90185088228781,-7,0
"66",375,"FIN","Finland",1973,1973.16164383562,1981.69315068493,"Kekkonen",73,"A",3116,1,1.18390439932318,17.912,6.20706774124821,10,0
"67",404,"GNB","Guinea-Bissau",1993,1993.86849315069,1999.34520547945,"Vieira",54,"A",2000,2,1.02354214585306,1.513,4.71695303424728,-5,0
"68",404,"GNB","Guinea-Bissau",2009,2009.16438356164,2009.68493150685,"Raimundo Perreira",53,"B",190,1,1.00101773771445,1.377,5.05854888371025,6,0
"69",411,"EQG","Equatorial Guinea",1972,1972.78082191781,1979.58630136986,"Macias Nguema",48,"A",2486,2,1.04270764589422,2.212,3.38959702359583,-7,4
"70",411,"EQG","Equatorial Guinea",1996,1996.58904109589,2023.90410958904,"Nguema Mbasogo",54,"A",9977,1,1.71422576584138,4.085,3.90672901696704,-6,0
"71",420,"GAM","The Gambia",1994,1994.55342465753,2011.04931506849,"Jammeh",52,"B",6025,2,0.961902304781562,2.237,4.78735006607971,-7,0
"72",432,"MLI","Mali",1985,1985.88219178082,1991.2301369863,"Traore",49,"A",1953,2,1.07652399481193,0.83,6.68508786429689,-7,0
"73",432,"MLI","Mali",1991,1991.2301369863,1992.4301369863,"Amadou Toure",43,"B",438,1,1.12560054907344,0.984,6.81225378087763,4,1
"74",434,"BEN","Benin",1965,1965.97260273973,1967.95890410959,"Soglo",53,"B",725,2,1.06012218828103,1.527,5.59044952267343,-7,0
"75",434,"BEN","Benin",1967,1967.95890410959,1968.58356164384,"Alley",37,"B",228,1,1.06005398110661,1.571,5.63502171908541,-7,0
"76",434,"BEN","Benin",1983,1983.81917808219,1991.25479452055,"Kerekou",50,"A",2716,1,0.988020400901435,1.666,6.03867012314718,-7,0
"77",435,"MAA","Mauritania",1978,1978.52054794521,1979.2602739726,"Ould Mohamed Salek",42,"B",270,2,0.982400659975251,2.858,5.09001932335032,-7,3
"78",435,"MAA","Mauritania",1984,1984.94794520548,2005.58630136986,"Sidi Ahmed Taya",43,"B",7539,2,0.926697808120733,2.579,5.24865432152894,-7,0
"79",435,"MAA","Mauritania",2005,2005.58630136986,2007.29589041096,"Ould Mohamed Vall",52,"B",624,1,1.10016598109259,3.049,5.76520364189118,-5,0
"80",435,"MAA","Mauritania",2008,2008.59726027397,2009.28493150685,"Ould Abdel Aziz",52,"B",252,1,1.07372732592159,3.303,5.84534569231126,-5,0
"81",436,"NIR","Niger",1974,1974.2904109589,1987.85753424658,"Kountche",43,"B",4955,1,0.865717821782178,1.399,6.31879692792381,-7,0
"82",436,"NIR","Niger",1996,1996.07123287671,1999.27397260274,"Mainassara",47,"B",1170,2,0.939677483575552,0.944,6.96060196623003,-3,1
"83",436,"NIR","Niger",1999,1999.27397260274,1999.97260273973,"Wanke",45,"B",255,1,0.995824634655532,0.954,7.06542803472598,5,0
"84",436,"NIR","Niger",2010,2010.10410958904,2011.26301369863,"Djibo",45,"B",423,1,1.04258443465492,0.994,7.46175590277835,3,0
"85",437,"CDI","Ivory Coast",1999,1999.98082191781,2000.81643835616,"Guei",58,"B",305,2,1.02583228643216,2.613,7.46748134655082,-1,0
"86",437,"CDI","Ivory Coast",2005,2005.81643835616,2011.27397260274,"Laurent Gbagbo",60,"A",1993,2,0.939793195463642,2.254,7.60523754944689,4,2
"87",438,"GUI","Guinea",2001,2001.25205479452,2008.97534246575,"Conte",67,"A",2820,1,0.985806050559469,1.903,6.81380387562284,-1,1
"88",438,"GUI","Guinea",2009,2009.92602739726,2010.9698630137,"Sekouba Konate",43,"B",381,1,1.00521625733536,1.85,6.95885990557304,-1,0
"89",439,"BFO","Burkina Faso",1966,1966.00547945205,1971.03287671233,"Lamizana",50,"B",1836,1,1.03354134165367,1.06,6.29252978909787,-7,0
"90",439,"BFO","Burkina Faso",1974,1974.10410958904,1980.90136986301,"Lamizana",58,"B",2482,2,0.992092020129403,1.104,6.42219283670844,-4,0
"91",439,"BFO","Burkina Faso",1980,1980.90136986301,1982.84931506849,"Zerbo",48,"B",712,2,1.04330364938013,1.195,6.55482332132224,-7,0
"92",439,"BFO","Burkina Faso",1982,1982.84931506849,1983.58904109589,"J. P. Ouedraogo",40,"B",270,2,1.02213211691164,1.21,6.60430148420988,-7,0
"93",439,"BFO","Burkina Faso",1983,1983.58904109589,1987.78630136986,"Sankara",34,"B",1533,2,0.988323603002502,1.185,6.62126183316708,-7,0
"94",439,"BFO","Burkina Faso",1997,1997.78630136986,2014.8301369863,"Campaore",46,"A",6225,1,1.08129564941251,1.362,7.01519074045022,-5,0
"95",450,"LBR","Liberia",1980,1980.27945205479,1990.68767123288,"Doe",29,"B",3802,2,0.900650350847167,2.105,5.29454526109524,-7,0
"96",451,"SIE","Sierra Leone",1978,1978.29589041096,1985.90684931507,"Stevens",73,"A",2780,1,0.9720489143998,1.558,5.82365222050659,-7,0
"97",451,"SIE","Sierra Leone",1992,1992.33150684932,1996.04383561644,"Strasser",27,"B",1356,2,0.913324708926261,1.412,6.11624967744775,-7,3
"98",451,"SIE","Sierra Leone",1997,1997.39452054795,1998.11506849315,"Koroma",37,"B",263,2,0.809663250366032,1.106,6.09523429817046,5,3
"99",452,"GHA","Ghana",1964,1964.21917808219,1966.14794520548,"Nkrumah",55,"A",705,2,1.02246704214891,3.304,6.74084082093436,-9,0
"100",452,"GHA","Ghana",1966,1966.14794520548,1969.25205479452,"Ankrah",51,"B",1134,1,0.96166799338681,3.141,6.79388980963235,-4,0
"101",452,"GHA","Ghana",1972,1972.03287671233,1978.50684931507,"Acheampong",41,"B",2365,2,1.00784264119917,3.187,6.91996740647937,-7,0
"102",452,"GHA","Ghana",1981,1981.99726027397,2001.01643835616,"Rawlings",34,"B",6947,1,0.903253733496862,2.504,7.1278269167978,5,1
